Client,Project,Status,Amount (VAT-Ex.) (PHP),Amount (VAT-Ex.) (USD),Quick Remarks,Sign Date,Source,BD,AM,PM,MKT,Project Code,Signed CE (PDF),Internal CE (Sheet),VAT%,Amount (VAT-Inc.),GP%,GP,Invoice(s),Payment Dates,Other Attachments,Other Links,RFP Received Date,Tribe,Year,Month,Project Start,Project End,AM Weight,AM Lookup,Weighted Amount (PHP),Weighted Amount (USD),Lead Phase,Lead Date,% Collected,Amount Collected (PHP),PAR,Tags,Amount Invoiced (PHP)
Project One Studios,GG Truck x Shopee,Talks In Progress,2.5e+06,"$43,859.65",Mar 3: Refered by DragonAI,,,Kewen Ysan Tolentino Sy,,,,,,,12%,"2,800,000.00",0.25,"625,000.00",,,,,2026/02/24,PDEI - Marketing,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/02/25,,,,,
Publicis Groupe - Philippines,Publicis  Project,Talks In Progress,500000,"$8,771.93",,,,Kewen Ysan Tolentino Sy,,,,,,,,"500,000.00",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/03/11,,,,,
Rakuten Viber,,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/04/15,,,,,
Rebisco Biscuits and Crackers,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/01/26,,,,,
"Rebisco Group of Companies, Inc.",,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/03/31,,,,,
Red Bull PH,,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/01/26,,,,,
Red Five Digital,,Talks In Progress,,,,,,Jorge Luis Tesoro,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/01/13,,,,,
Reggie Uy,Undisclosed Project,Talks In Progress,446428.571428571,"$7,832.08",,,,Kewen Ysan Tolentino Sy,,,,,,,,"446,428.57",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/04/15,,,,,
Republic Biscuit Corporation,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/03/24,,,,,
Richprime Global Incorporated,Barbie PH Event,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/03/31,,,,,
Rock Space,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/02/09,,,,,
SMC - San Miguel Foods,,Talks In Progress,267857.142857143,"$4,699.25",,,,Kewen Ysan Tolentino Sy,,,,,,,,"267,857.14",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/02/15,,,,,
San Miguel Foods,Activations,Talks In Progress,,,Jan 23: Provided latest information to client for accreditation,,,,,,,,,,,0.00,,,,,,,,PDEI - Marketing,2026,,,,,,,,,,,,,,
Selecta,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/01/26,,,,,
Shopee,Shopee PR,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/03/24,,,,,
SiGMA Asia,SiGMA Asia Event,Talks In Progress,1e+06,"$17,543.86",,,,Kewen Ysan Tolentino Sy,,,,,,,,"1,000,000.00",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/03/17,,,,,
Skeencare,,Talks In Progress,,,,,,Jorge Luis Tesoro,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/01/26,,,,,
Solaire,Solaire KPOP Fan Meet,Talks In Progress,2e+06,"$35,087.72","Deadline: Dec 3
Dec 5: Deck submitted",,Dar,Marinella M. Casabuena,,,,,,,,"2,000,000.00",0.3,"600,000.00",,,,,2025/11/27,PDEI - Marketing,2026,,,,,,,,,,,,,,
Solaire,KissU* IP,Talks In Progress,,,,,,,,,,,,,,0.00,0.3,0.00,,,,DECK - https://docs.google.com/presentation/d/15gV7fP_xZXmBojSB8WW_wQ6CSkbqm1MMopF3p-EDBsA/edit?usp=sharing,2025/11/24,PDEI - Marketing,2026,,,,,,,,,,,,,,
Special Force 2 PH,,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/01/12,,,,,
TROPICFRILLS FILM PRODUCTIONS,,Talks In Progress,44642.8571428571,$783.21,,,,Jorge Luis Tesoro,,,,,,,,"44,642.86",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/02/09,,,,,
TRUST,,Talks In Progress,357142.857142857,"$6,265.66",,,,Kewen Ysan Tolentino Sy,,,,,,,,"357,142.86",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/02/18,,,,,
Tencent,HOK KIC 2026 (PH rebroadcast),Talks In Progress,1.5e+06,"$26,315.79",,,,,Carla Andrea Calma Crespo,,,,,,0%,"1,500,000.00",0.35,"525,000.00",,,,,2026/02/18,PDEI - Tencent,2026,,,,,Account Associate,₱0.00,$0.00,,,,,,,
Tencent,EWC-KWC 2026 (PH rebroadcast),Talks In Progress,850000,"$14,912.28",,,,,Carla Andrea Calma Crespo,,,,,,0%,"850,000.00",0.35,"297,500.00",,,,,2026/02/18,PDEI - Tencent,2026,,,,,Account Associate,₱0.00,$0.00,,,,,,,
"Terry SA, Inc",Havaianas,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/04/07,,,,,
TikTok (Philippines),,Talks In Progress,,,,,,Marinella M. Casabuena,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/02/12,,,,,
URC Powdered Beverages,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/01/16,,,,,
URC RTD Beverages,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/01/16,,,,,
URC Snacks,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/03/31,,,,,
Ubisoft,,Talks In Progress,89285.7142857143,"$1,566.42",,,,Jorge Luis Tesoro,,,,,,,,"89,285.71",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/02/24,,,,,
Vans Philippines,,Talks In Progress,133928.571428571,"$2,349.62",,,,Jorge Luis Tesoro,,,,,,,,"133,928.57",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/02/10,,,,,
Wargaming,,Talks In Progress,89285.7142857143,"$1,566.42",,,,Jorge Luis Tesoro,,,,,,,,"89,285.71",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/02/24,,,,,
Xiaomi - Manjean,,Talks In Progress,17857.1428571429,$313.28,,,,Jorge Luis Tesoro,,,,,,,12%,"20,000.00",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/01/26,,,,,
Xsolla,User Acquisition Partnership,Talks In Progress,,,"Nov 25: NDA signed, to make account on dashboard
Jan 20: Kirk to turn over",,"Ella, Kirk",Marinella M. Casabuena,"Carlos Roberto Francisco, David, IV Coscolluela",,,,,,,0.00,0.3,0.00,,,,,,PDEI - Marketing,2026,,,,,Account Associate,₱0.00,$0.00,,,,,,,
Yamaha,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/01/26,,,,,
Yamaha Motor Philippines Inc.,,Talks In Progress,,,,,,Kewen Ysan Tolentino Sy,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,2 - Sources,2026/03/24,,,,,
DigiPlus,Arena Plus Livestream Promotion - KOL,Talent Sourcing,400000,"$7,017.54",,,,Jorge Luis Tesoro,,,,,,,,"400,000.00",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/04/15,,,,,
Jobstreet KOL,Jobstreet Level Up Collegiate Tournament (Level 2) KOL,Talent Sourcing,29464.2857142857,$516.92,,,,Jorge Luis Tesoro,,,,,,,,"29,464.29",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/03/02,,,,,
Moonton Philippines Technology Inc.,MPL S17 KOL,Talent Sourcing,44642.8571428571,$783.21,,,,Jorge Luis Tesoro,,,,,,,,"44,642.86",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/03/02,,,,,
Moxie KOL,Moxie 2026 KOL,Talent Sourcing,4.46428571e+06,"$78,320.80",,,,Jorge Luis Tesoro,,,,,,,,"4,464,285.71",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/02/25,,,,,
PCWORX KOL,PCWORX Mall Activation KOL,Talent Sourcing,892857.142857143,"$15,664.16",,,,Jorge Luis Tesoro,,,,,,,,"892,857.14",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/02/17,,,,,
Philippine Seven Corporation,7-Eleven Philippines Proposal KOL,Talent Sourcing,1.78571428571429e+06,"$31,328.32",,,,Jorge Luis Tesoro,,,,,,,,"1,785,714.29",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/02/18,,,,,
SM Cyberzone KOL,SM Cyberzone Tabletop Throwdown,Talent Sourcing,2.71648454e+06,"$47,657.62",,,,Jorge Luis Tesoro,,,,,,,,"2,716,484.54",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/02/12,,,,,
Samsung KOL,Samsung MLBB Rising League - Neigborhood Map,Talent Sourcing,178571.428571429,"$3,132.83",,,,Jorge Luis Tesoro,,,,,,,,"178,571.43",,,,,,,,,2026,,,,,,,,3 - Revenue building activities,2026/03/10,,,,,
Tencent KOL,HOK PKL KOL,Talent Sourcing,485150,"$8,511.40",,,,Jorge Luis Tesoro,,,,,,,,"485,150.00",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/03/10,,,,,
Tencent KOL,PUBGM KOL,Talent Sourcing,216600,"$3,800.00",,,,Jorge Luis Tesoro,,,,,,,,"216,600.00",,,,,,,,,2026,,,,,,,,4 - ITQ/RFQ/RFP,2026/03/17,,,,,
,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.00,,,,,,,,,2026,,,,,,,,,,,,,,
